"","ID","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"YFL067W","YFL067W",33.6923065304589,-8.56371208294872,1.21124491816105,-7.07017379767457,1.54739772177015e-12,1.15506384370615e-10
"YFL068W","YFL068W",264.608126284577,-11.5371558386829,1.18630414645957,-9.72529336015106,2.35226372693711e-22,3.55674338403798e-20
"YFR057W","YFR057W",24.4008901789296,3.44133669194779,0.531624560274843,6.47324625139339,9.59194356338225e-11,5.95407275718581e-09
"YPS5","YPS5",10.8038695755054,-6.92371341444498,1.27397018678727,-5.4347530941092,5.48723604143651e-08,2.24709937057994e-06
"MPC3","MPC3",51.1870478141485,1.14355711843654,0.268312077306047,4.26204116459564,2.02568116313533e-05,0.000526230917136963
"MAL11","MAL11",601.267928638766,2.756310032023,0.114823448961082,24.0047660731496,2.47970100655786e-127,4.87426561189057e-124
"MAL12","MAL12",38.6267831112694,-8.76282345292438,1.20841104387508,-7.25152546175356,4.12103533177299e-13,3.24023271352871e-11
"COS6","COS6",998.678030001473,-11.5981860956608,1.0227704293661,-11.3399701073184,8.31728668100579e-30,3.0654399723682e-27
"COS8","COS8",515.893929048345,-11.5386197587637,1.18128118748104,-9.76788581842113,1.54645382453018e-22,2.39985215875118e-20
"YHL049C","YHL049C",52.51586456804,-9.20466355998638,1.19914531014915,-7.67602014708417,1.64107328000126e-14,1.40252306263296e-12
"YHL050C","YHL050C",517.590826065876,-11.5435502360313,1.18151130656649,-9.77015638519556,1.51218473337208e-22,2.39985215875118e-20
"FLO5","FLO5",111.29247061706,-6.83438733549165,0.609830481901737,-11.2070280812773,3.76627591352275e-29,1.16893310852861e-26
"YHR213W","YHR213W",9.66911012806802,-6.7671421537461,1.29594867587382,-5.22176709597179,1.7722377768205e-07,6.69928600635287e-06
"PHO12","PHO12",921.508844763668,-12.3749189329449,1.1812140461953,-10.476440720295,1.10836895456289e-25,2.04251616408042e-23
"IMD2","IMD2",3769.68443752801,-11.5140924664789,0.51336707290519,-22.4285761089421,2.07161157270653e-111,3.0540733610626e-108
"YHR218W","YHR218W",231.650815423714,-10.3824741324679,1.18351256079061,-8.7725931066859,1.74598041710301e-18,1.83857973565294e-16
"YHR219W","YHR219W",571.322366926308,-12.6468594032101,1.18239800289889,-10.6959411062973,1.06334637508133e-26,2.23948341923378e-24
"RNR3","RNR3",281.516261689108,1.45565010034166,0.129655093605094,11.2270953640688,3.00185104694275e-29,1.04128915434244e-26
"VTH1","VTH1",909.556017944612,1.47459952651953,0.108707315510623,13.5648600978968,6.4703001080554e-42,3.46866906701843e-39
"YIL175W","YIL175W",14.1447904761921,-4.81902220822,0.938582224118511,-5.13436338808343,2.8310063985936e-07,1.03692203307493e-05
"YIR042C","YIR042C",154.801638585245,-2.40749375435162,0.182394167617911,-13.19940097753,8.84354863294577e-40,4.34586719070677e-37
"YIR043C","YIR043C",72.035733948953,-9.66267853385412,1.198016503691,-8.06556379155388,7.2898659080524e-16,6.61359065535154e-14
"NCA3","NCA3",507.665018310359,1.4661131387553,0.101658559642223,14.4219349941129,3.76633285653614e-47,2.7762581068742e-44
"YJL218W","YJL218W",125.451772465848,-1.20973953175853,0.176428918349191,-6.85680977403144,7.04152937758249e-12,4.88516455760046e-10
"HXT9","HXT9",39.9027093918489,-7.84022040797276,1.20531328384215,-6.50471583867448,7.78403794485625e-11,4.88324167668269e-09
"VTH2","VTH2",231.420369358199,-11.3446248928061,1.18806815066606,-9.54879977755992,1.31207488565763e-21,1.84221561921978e-19
"YJL225C","YJL225C",1458.48428098873,-13.9997222341734,1.17981925092753,-11.8659889836238,1.77789096723251e-32,7.48873073840722e-30
"BNA2","BNA2",143.545759479136,1.08207879731091,0.178733315353058,6.05415277601404,1.41158595917887e-09,7.63680954245671e-08
"MPH3","MPH3",228.149563995609,-1.65757917812008,0.176725936895936,-9.37937694508383,6.63637190775965e-21,8.89424662274061e-19
"MET14","MET14",314.247840216513,-1.56666132664095,0.130882549804743,-11.9699786486294,5.10417593282117e-33,2.31533272891126e-30
"VBA5","VBA5",148.126056236436,-8.84388071431792,1.03015141658159,-8.58502990139555,9.08128052336749e-18,9.07666292310137e-16
"GEX2","GEX2",111.156235741918,-9.32389035207915,1.19014866563198,-7.83422325405718,4.71749907238318e-15,4.15210328803636e-13
"PAU18","PAU18",11.4358118064417,-7.00206806215889,1.27264084530234,-5.50199853164026,3.75510083166392e-08,1.60462533364653e-06
"YLL066C","YLL066C",521.024968953954,-10.659352951419,1.02446370999207,-10.4048126326519,2.35719352443588e-25,4.21223339806011e-23
"YLR460C","YLR460C",50.5053992203892,-5.45983023440863,0.603232673422342,-9.05095243504165,1.41726679068872e-19,1.7056371968758e-17
"YLR462W","YLR462W",15.5413698321021,-7.44975762887559,1.24676476781783,-5.97527121488574,2.29707702503011e-09,1.18823361549145e-07
"YRF1-4","YRF1-4",2178.58457755726,-11.7232527760227,0.72406742474602,-16.1908302671327,5.85334162907269e-59,5.75285926444027e-56
"YRF1-5","YRF1-5",751.806824086606,-13.0445939537962,1.18138999158593,-11.0417339292715,2.40349691975734e-28,5.4513158983881e-26
"COS3","COS3",554.389682331155,-10.7489900181092,1.02400411606333,-10.4970183708172,8.91516954911549e-26,1.69589531713336e-23
"YML133C","YML133C",816.211150115828,-13.1623356639738,1.18036275892978,-11.1510936484542,7.07316172919294e-29,2.08552173585254e-26
"YKU80","YKU80",116.567077163712,7.81490634627882,0.846838622069345,9.22833010046497,2.74883754561439e-20,3.52389021880175e-18
"YMR321C","YMR321C",10.8444080147747,-6.93292088656925,1.28607144003468,-5.39077431529178,7.01547354099792e-08,2.83357859392224e-06
