gene_id,BY4742_R1,BY4742_R2,BY4742_R3,SY14_R1,SY14_R2,SY14_R3
VVS1,266,266,276,304,323,354
YBR242W,673,673,702,641,602,699
ALG7,1051,1051,1074,1039,1037,1191
GPX2,1900,1900,2018,1391,1731,1779
ISW1,1171,1171,1047,1028,1094,1238
RRT2,1092,1092,987,1012,1071,1137
ENP1,1875,1875,1684,1768,1761,1844
HIS7,3643,3643,3496,2925,3233,3603
ARO4,5510,5510,5513,4665,4844,5754
SPO23,51,51,38,49,37,44
MRPS5,559,559,510,533,513,569
DUT1,1299,1299,1270,1058,1088,1180
SRB6,366,366,298,285,287,360
TRS20,400,400,318,389,353,381
RCF3,236,236,214,293,275,237
MTC4,548,548,583,561,573,588
RIB5,1759,1759,1616,1697,1770,1834
POP4,474,474,479,378,440,444
SHG1,205,205,201,172,200,212
YBR259W,493,493,488,422,424,495
RGD1,579,579,557,515,571,658
TAE1,1606,1606,1650,1671,1436,1607
MIC12,415,415,381,418,476,405
SHM1,3955,3955,4018,3861,3443,4125
YPT10,664,664,678,685,555,708
TSC10,1563,1563,1578,1557,1405,1605
SLM6,0,0,0,0,0,0
REI1,2278,2278,2205,2252,2212,2472
MRPL37,606,606,419,664,559,604
SDH8,538,538,558,713,604,690
BIT2,372,372,325,293,359,381
EFM2,826,826,872,833,852,948
HSM3,404,404,402,391,411,439
UBX7,1319,1319,1210,1313,1271,1273
CHK1,605,605,590,482,478,591
RIF1,604,604,567,546,622,679
PPS1,1258,1258,1192,1136,1112,1290
DPB3,328,328,270,304,266,321
PAF1,1453,1453,1476,1344,1365,1554
SAF1,381,381,401,368,359,398
DUG2,921,921,930,901,807,1005
MRPL27,471,471,436,408,456,445
SSH1,4252,4252,4242,4539,4256,4871
YBR284W,124,124,106,143,154,214
HAB1,17,17,14,10,24,21
APE3,9884,9884,10283,10248,9815,11572
YBR287W,2135,2135,2242,1923,1782,2244
APM3,962,962,838,824,812,930
SNF5,448,448,452,444,386,479
BSD2,908,908,922,831,857,1042
CTP1,447,447,445,391,398,456
YBR292C,1,1,2,0,1,4
VBA2,763,763,720,731,690,804
SUL1,429,429,419,310,329,343
PCA1,468,468,441,431,421,509
PHO89,1906,1906,1962,2522,2667,3758
TYC1,0,0,0,0,0,0
MAL33,470,470,371,448,487,569
MAL31,208,208,183,218,207,269
YBR298C-A,0,0,0,0,0,0
MAL32,84.53,84.53,81.27,102,127,80
PAU24,14,14,2,6,1,4
COS2,1101.27,1101.27,1145.11,0,1.53,1.35
RER1,1580,1580,1708,1764,1790,2068
YCL001W-A,14,14,14,30,25,28
YCL001W-B,3,3,3,3,2,8
YCL002C,682,682,625,767,738,784
PGS1,301,301,273,315,287,349
LDB16,620,620,583,590,591,743
VMA9,111,111,93,116,106,108
STP22,603,603,625,750,698,693
ILV6,3333,3333,3253,3818,3577,4120
SGF29,754,754,726,696,725,836
GBP2,4390,4390,4233,4522,4086,4475
YCL012C,144,144,110,143,117,163
BUD3,502,502,469,441,469,652
DCC1,302,302,283,322,288,366
NFS1,1236,1236,1133,1139,1133,1299
LEU2,167,167,155,0,1239,1128
YCL019W,875.37,875.37,873.58,1044.63,1006.69,1261.7
YCL020W,0,0,0,0,0,0
YCL021W-A,19,19,14,19,23,15
KCC4,377,377,271,282,346,395
AGP1,1201,1201,1015,1172,1034,1136
FRM2,20,20,13,46,46,53
HBN1,50,50,39,139,114,133
FUS1,709,709,732,492,572,541
RNQ1,1849,1849,2104,1847,1841,2189
BIK1,633,633,621,565,588,677
HIS4,5676,5676,5678,4846,5288,6407
RRP7,2042,2042,2156,2080,2068,2267
STE50,621,621,617,665,669,653
MXR2,448,448,471,528,468,518
LSB5,1525,1525,1546,1813,1542,1844
GRX1,1256,1256,1168,1226,1345,1362
GFD2,1586,1586,1529,1455,1588,1628
SRO9,53,53,64,58,52,66
ATG22,450,450,404,442,466,525
GID7,708,708,659,791,704,801
GLK1,2095,2095,2361,2344,2976,3640
YCL042W,12,12,9,7,11,16
PDI1,7725,7725,7683,8516,8129,9330
MGR1,378,378,317,444,405,481
EMC1,2954,2954,3157,2709,2799,3432
POF1,274,274,293,241,217,283
SPS22,14,14,8,21,15,17
YCL048W-A,0,0,0,0,5,0
YCL049C,594,594,501,510,625,649
APA1,3694,3694,3750,3441,3450,3795
LRE1,556,556,558,521,430,643
PBN1,753,753,810,734,823,896
SPB1,3229,3229,3125,2971,3084,3531
RDT1,0,0,0,0,0,0
KAR4,1022,1022,917,888,937,960
PEX34,416,416,385,435,391,399
MIC10,712,712,642,716,757,714
PRD1,1753,1753,1774,1987,1914,2214
FYV5,919.9,919.9,891.88,1045.33,893.68,1013.08
ADF1,530.1,530.1,365.12,478.67,520.32,419.92
KRR1,3004,3004,2866,2728,2714,2932
MRC1,508,508,501,445,499,563
VAC17,499,499,494,467,490,547
CHA1,4884,4884,5259,4943,5672,6173
HMLALPHA1,399.5,399.5,389,342.5,346.5,410
HMLALPHA2,952.5,952.5,894,871.44,905.5,968
YCL068C,0,0,0,0,0,0
VBA3,0,0,0,0,0,0
GEX1,0,0,0,3,3,2
YCL074W,0,0,0,29,33,56
YCL075W,0,0,0,8,10,14
YCR001W,5,5,6,5,3,11
CDC10,1640,1640,1573,1583,1681,1909
MRPL32,283,283,254,305,326,368
YCP4,1787,1787,1708,2293,2011,2221
CIT2,893,893,752,1246,1053,1504
YCR006C,20,20,18,30,41,29
DFP3,154,154,168,173,181,158
SAT4,1036,1036,993,1120,1128,1259
RVS161,2186,2186,2229,2139,2046,2347
ADY2,59,59,44,39,55,47
ADP1,1512,1512,1402,1460,1533,1754
PGK1,71644,71644,72139,68797,71052,79224
POL4,279,279,261,256,271,327
CTO1,273,273,292,241,240,300
RBP95,1483,1483,1420,1394,1468,1485
CWH43,2554,2554,2676,2611,2530,2987
SRD1,380,380,314,336,360,396
MAK32,341,341,346,330,273,367
PET18,64,64,47,57,75,68
MAK31,124,124,94,135,126,108
HTL1,74,74,67,78,89,55
HSP30,194,194,164,177,158,178
YCR022C,12,12,7,9,11,7
YCR023C,930,930,932,847,875,1021
SLM5,301,301,265,241,237,296
PMP1,0,0,0,0,0,0
YCR024C-B,364,364,321,310,368,327
YCR025C,4,4,12,12,2,7
NPP1,914,914,896,889,1012,1143
RHB1,260,260,219,313,303,255
FEN2,975,975,1027,1040,964,1129
RIM1,1317,1317,1246,1122,1212,1259
SYP1,775,775,786,703,718,965
RPS14A,20433.18,20433.18,20550.92,19774.92,18758,19171.83
BPH1,408,408,341,407,386,446
SNT1,1108,1108,1126,1119,1080,1309
ELO2,3905,3905,3888,3396,3163,3848
RRP43,1526,1526,1392,1440,1429,1565
RBK1,1152,1152,1173,1181,1181,1375
PHO87,1538,1538,1409,1351,1382,1707
BUD5,228,228,209,229,207,262
MATALPHA2,952.5,952.5,894,871.44,905.5,968
MATALPHA1,399.5,399.5,389,342.5,346.5,410
YCR041W,96,96,104,127,122,102
TAF2,978,978,987,900,1074,1153
YCR043C,509,509,501,451,503,524
PER1,1007,1007,1067,1002,953,1109
RRT12,639,639,641,626,639,742
IMG1,1602,1602,1283,1940,1536,1680
BUD23,1784,1784,1516,2259,1942,2008
ARE1,1991.71,1991.71,1999.21,2499.37,2110.28,2526.7
YCR050C,63.29,63.29,45.79,33.63,52.72,59.3
YCR051W,2537,2537,2524,2891,2562,2834
RSC6,1706,1706,1662,1649,1666,1932
THR4,6078,6078,6349,5807,5914,7161
CTR86,401,401,379,351,384,475
PWP2,3471,3471,3347,3377,3418,4026
YIH1,953,953,922,981,935,1019
TAH1,436,436,419,392,417,450
TVS1,318,318,319,495,422,522
BUD31,88,88,87,89,98,118
HCM1,862,862,781,746,787,931
RAD18,185,185,204,175,223,250
SED4,1405,1405,1386,1279,1325,1625
ATG15,398,398,412,418,420,489
CPR4,1013,1013,1077,970,957,1119
IMG2,443,443,405,443,398,445
RSA4,1574,1574,1492,1636,1797,1911
SSK22,891,891,891,874,911,1006
SOL2,891,891,803,954,903,1015
ERS1,285,285,283,263,255,289
EGO2,25,25,25,39,40,42
FUB1,397,397,376,435,427,436
PAT1,3114,3114,3104,3301,3293,3842
PTC6,528,528,510,553,500,669
SRB8,405,405,401,369,420,512
AHC2,963,963,914,905,881,1033
TRX3,643,643,685,723,659,660
TUP1,3077,3077,3012,3246,3179,3794
YCR085W,13,13,9,16,17,16
CSM1,165,165,154,181,192,210
YCR087C-A,2118,2118,2170,2226,2076,2169
ABP1,1969,1969,2000,2350,2140,2607
FIG2,454,454,401,424,454,493
YCR090C,963,963,885,795,864,818
KIN82,182,182,205,201,241,251
MSH3,735,735,656,652,618,788
CDC39,1537,1537,1485,1454,1593,1994
CDC50,530,530,471,405,446,569
OCA4,469,469,461,474,473,477
YCR095W-A,0,0,0,0,0,0
