gene_id,BY4742_R1,BY4742_R2,BY4742_R3,SY14_R1,SY14_R2,SY14_R3
ARC1,211.57,211.57,219.83,246.49,259.87,253.33
MLC1,295.93,295.93,299.88,301.11,298.56,312.9
RMD9,17.82,17.82,15.36,17.24,17.75,19.18
YGL108C,47.35,47.35,48.09,48.6,54.07,48.55
CUE3,18.81,18.81,17.74,19.03,18.83,19.26
NSA1,57.1,57.1,56.58,61.45,66.51,65.6
TAF6,30.91,30.91,29.09,26.43,29.36,29.94
SLD3,8.27,8.27,7.21,7.3,9.11,9.04
YGL114W,23.72,23.72,21.21,22.18,23.19,24.6
SNF4,37.12,37.12,33.33,30.04,35.53,39.19
CDC20,15.69,15.69,15.94,16.3,20.41,19.86
ARO5,16.37,16.37,15.91,17.84,18.58,21.03
YGL118C,0,0,0.19,0.2,0,0.19
COQ8,19.26,19.26,18.63,21.56,21.76,18.27
PRP43,78.1,78.1,76.83,88.2,88.29,90.15
GPG1,11.8,11.8,8.13,18.07,11.82,13.39
NAB2,76.47,76.47,71.08,89.09,86.53,93.12
RPS2,2940.51,2940.51,2945.17,2869.38,2905.43,2863.12
MON1,11.68,11.68,11.37,10.01,11.25,10.68
MET13,10.38,10.38,9.04,10.27,9.6,11.03
SCS3,56.05,56.05,53.23,69.07,60.63,59.88
SOH1,92.58,92.58,100.17,94.18,94.89,103.84
CWC23,12.73,12.73,11.31,13.86,15.81,15.45
RSM23,24.71,24.71,21.13,24.72,23.54,25.39
CEG1,30.54,30.54,30.22,33.92,36.42,33.91
SNT2,3.88,3.88,3.56,2.85,4.05,4.5
ITC1,6.45,6.45,6.5,6.95,7.32,7.69
PCL10,9.87,9.87,9.33,10.11,7.94,10.74
RPL1B,1736.32,1736.32,1778.14,1415.95,1601.56,1574.9
MRM2,10.55,10.55,10.9,9.74,11.31,12.24
SEC27,49.63,49.63,45.94,53.15,53.09,56.47
YGL138C,0.08,0.08,0.16,0.27,0.18,0.16
FLC3,16.79,16.79,15.43,15.97,18.02,17.97
YGL140C,10.85,10.85,9.56,11.26,11.27,11.94
HUL5,9.16,9.16,7.61,8.93,9.44,11.27
GPI10,12.14,12.14,11.01,11.4,12.02,12.47
MRF1,14.31,14.31,12.29,13.91,13.28,12.9
ROG1,9.39,9.39,8.75,9.57,9.54,10.72
TIP20,14.53,14.53,15.14,13.02,15.94,16.36
RRT6,2.24,2.24,2.7,2.8,3.55,3.55
RPL9A,2047.76,2047.76,2200.46,1845.93,1901.97,1903.72
ARO2,190.33,190.33,180.28,199.02,201.37,204.95
YGL149W,0.7,0.7,0,2.17,1.33,2.16
INO80,12.01,12.01,11.29,12.6,12.84,14.34
NUT1,9.7,9.7,8.54,8.74,10.48,10.61
PEX14,22.59,22.59,21.5,24.37,22.51,23.77
LYS5,24.49,24.49,21.24,20.31,24.26,24.31
CDC43,21.39,21.39,23.53,24.25,26.37,24.63
AMS1,3.45,3.45,2.84,3.92,4.28,5.24
ARI1,50.96,50.96,47.57,52.71,56.2,59.37
RCK1,4.62,4.62,2.42,4.37,5.53,5.26
YGL159W,19.59,19.59,18.37,17.36,17.36,19.1
AIM14,12.75,12.75,12.24,12.77,13.63,12.79
YIP5,59.52,59.52,64.05,71.46,71.07,67.82
SUT1,20.34,20.34,15.06,20.13,22.41,22.73
RAD54,8.6,8.6,7.69,11.2,11.48,11.62
YRB30,25.21,25.21,25.07,25.49,24.47,26.53
CUP2,45.37,45.37,42.93,62.58,54.29,50.94
PMR1,29.36,29.36,27.44,27.11,30.8,31.63
